ID, Date, Name, Gusses, Time:
1,Thu Apr  7 19:16:10 2022,Taneya,3,22.869
2,Thu Apr  7 19:19:22 2022,Ai,1,2.308
3,Thu Apr  7 19:56:13 2022,Elmore,5,31.19
4,Thu Apr  7 20:01:23 2022,Mairin,3,11.924
5,Thu Apr  7 20:03:51 2022,Sandra,2,7.32
6,Thu Apr  7 20:06:38 2022,Carley,4,11.681
7,Thu Apr  7 20:08:41 2022,Jessey,4,22.995
8,Thu Apr  7 20:13:45 2022,Careen,2,5.859
9,Thu Apr  7 20:14:56 2022,Raeann,3,16.704
10,Thu Apr  7 20:16:02 2022,Howard,4,9.347
11,Thu Apr  7 20:25:14 2022,Devine,2,7.075
12,Thu Apr  7 20:31:08 2022,Kenita,4,9.372
13,Thu Apr  7 20:32:48 2022,Jessey,2,4.731
14,Thu Apr  7 20:34:00 2022,Stefen,2,6.723
15,Thu Apr  7 20:35:55 2022,Season,2,7.237
16,Thu Apr  7 20:39:54 2022,Dennie,6,18.705
17,Thu Apr  7 20:43:49 2022,Renita,2,4.529
18,Thu Apr  7 20:50:03 2022,Glenna,3,10.699
19,Thu Apr  7 20:50:29 2022,Refugio,3,14.388
20,Thu Apr  7 20:51:18 2022,Collin,2,4.629
21,Thu Apr  7 20:51:29 2022,Jamiel,1,2.185
22,Thu Apr  7 20:51:38 2022,Thayer,2,4.374
23,Thu Apr  7 20:52:29 2022,Antoin,3,11.098
24,Thu Apr  7 21:19:26 2022,Simona,4,125.957
25,Thu Apr  7 23:12:10 2022,Suhail,5,55.856
26,Thu Apr  7 23:15:19 2022,Tineka,5,57.096
27,Thu Apr  7 23:18:33 2022,Justus,4,35.775
28,Thu Apr  7 23:20:17 2022,Lovina,2,6.433
29,Fri Apr  8 08:05:34 2022,Kaysie,2,18.491
30,Fri Apr  8 08:06:03 2022,Tiffanyann,4,22.118
31,Fri Apr  8 11:33:24 2022,Mariachristina,1,12.602
32,Tue Apr 12 10:02:53 2022,Tyshon,5,46.283
33,Tue Apr 12 12:38:15 2022,Grissel,6,92.142
34,Tue Apr 12 12:45:28 2022,Nyasia,5,83.606
35,Thu Apr 14 14:21:08 2022,Teon,4,23.276
36,Thu Apr 14 14:23:40 2022,Senequa,5,121.556
37,Thu Apr 14 14:29:28 2022,Su,4,13.049
38,Thu Apr 14 14:32:32 2022,Poua,6,30.193
39,Thu Apr 14 14:32:55 2022,Sarahelizabeth,1,4.299
40,Thu Apr 14 14:33:08 2022,Sarahelizabeth,1,3.875
41,Thu Apr 14 14:35:05 2022,Deshan,6,58.335
42,Thu Apr 14 14:37:02 2022,Talisa,5,45.19
43,Thu Apr 14 14:38:12 2022,Lennis,3,28.927
44,Tue May  3 09:38:30 2022,Rukiya,4,12.419
45,Tue May  3 09:38:41 2022,Ryanne,2,5.03
46,Tue May  3 09:44:45 2022,Mariadelcarmen,3,27.402
47,Tue May  3 14:04:42 2022,Temple,3,12.582
48,Wed May  4 09:02:42 2022,Robbie,3,12.691
49,Wed May  4 09:29:07 2022,Celisa,4,28.695
50,Wed May  4 09:29:23 2022,Glenny,1,3.723
51,Wed May  4 09:29:35 2022,Tamela,1,3.107
52,Wed May  4 09:35:16 2022,Shakka,2,21.194
53,Wed May  4 09:43:30 2022,Hellen,2,7.685
54,Thu May  5 10:46:51 2022,Leta,2,4.643
55,Thu May  5 10:47:21 2022,Michaelanthony,2,23.141
56,Tue May 10 09:55:44 2022,Lanell,3,26.936
57,Tue May 10 09:56:11 2022,Benoit,3,19.952
